18	8	130
15	8	165
18	8	150
16	8	150
17	8	140
15	8	198 
14	8	220
14	8	215
14	8	225
15	8	190
15	8	170
14	8	160
15	8	150
14	8	225
24	4	95
22	6	95
18	6	97
21	6	85
27	4	88
26	4	46
25	4	87
24	4	90
25	4	95
26	4	113
21	6	90
10	8	215
10	8	200
11	8	210
9	8	193
27	4	88
28	4	90
25	4	95
25	4	0
19	6	100
16	6	105
17	6	100
19	6	88
18	6	100
14	8	165
14	8	175
14	8	153
14	8	150
12	8	180
13	8	170
13	8	175
18	6	110
22	4	72
19	6	100
18	6	88
23	4	86
28	4	90
30	4	70
30	4	76
31	4	65
35	4	69
27	4	60
26	4	70
24	4	95
25	4	80
23	4	54
20	4	90
21	4	86
13	8	165
14	8	175
15	8	150
14	8	153
17	8	150
11	8	208
13	8	155
12	8	160
13	8	190
19	3	97
15	8	150
13	8	130
13	8	140
14	8	150
18	4	112
22	4	76
21	4	87
26	4	69
22	4	86
28	4	92
23	4	97
28	4	80
27	4	88
13	8	175
14	8	150
13	8	145
14	8	137
15	8	150
12	8	198
13	8	150
13	8	158
14	8	150
13	8	215
12	8	225
13	8	175
18	6	105
16	6	100
18	6	100
18	6	88
23	6	95
26	4	46
11	8	150
12	8	167
13	8	170
12	8	180
18	6	100
20	4	88
21	4	72
22	4	94
18	3	90
19	4	85
21	6	107
26	4	90
15	8	145
16	8	230
29	4	49
24	4	75
20	4	91
19	4	112
15	8	150
24	4	110
20	6	122
11	8	180
20	6	95
21	6	0
19	6	100
15	6	100
31	4	67
26	4	80
32	4	65
25	4	75
16	6	100
16	6	110
18	6	105
16	8	140
13	8	150
14	8	150
14	8	140
14	8	150
29	4	83
26	4	67
26	4	78
31	4	52
32	4	61
28	4	75
24	4	75
26	4	75
24	4	97
26	4	93
31	4	67
19	6	95
18	6	105
15	6	72
15	6	72
16	8	170
15	8	145
16	8	150
14	8	148
17	6	110
16	6	105
15	6	110
18	6	95
21	6	110
20	8	110
13	8	129
29	4	75
23	4	83
20	6	100
23	4	78
24	4	96
25	4	71
24	4	97
18	6	97
29	4	70
19	6	90
23	4	95
23	4	88
22	4	98
25	4	115
33	4	53
28	4	86
25	4	81
25	4	92
26	4	79
27	4	83
17.5	8	140
16	8	150
15.5	8	120
14.5	8	152
22	6	100
22	6	105
24	6	81
22.5	6	90
29	4	52
24.5	4	60
29	4	70
33	4	53
20	6	100
18	6	78
18.5	6	110
17.5	6	95
29.5	4	71
32	4	70
28	4	75
26.5	4	72
20	4	102
13	8	150
19	4	88
19	6	108
16.5	6	120
16.5	8	180
13	8	145
13	8	130
13	8	150
31.5	4	68
30	4	80
36	4	58
25.5	4	96
33.5	4	70
17.5	8	145
17	8	110
15.5	8	145
15	8	130
17.5	6	110
20.5	6	105
19	6	100
18.5	6	98
16	8	180
15.5	8	170
15.5	8	190
16	8	149
29	4	78
24.5	4	88
26	4	75
25.5	4	89
30.5	4	63
33.5	4	83
30	4	67
30.5	4	78
22	6	97
21.5	4	110
21.5	3	110
43.1	4	48
36.1	4	66
32.8	4	52
39.4	4	70
36.1	4	60
19.9	8	110
19.4	8	140
20.2	8	139
19.2	6	105
20.5	6	95
20.2	6	85
25.1	4	88
20.5	6	100
19.4	6	90
20.6	6	105
20.8	6	85
18.6	6	110
18.1	6	120
19.2	8	145
17.7	6	165
18.1	8	139
17.5	8	140
30	4	68
27.5	4	95
27.2	4	97
30.9	4	75
21.1	4	95
23.2	4	105
23.8	4	85
23.9	4	97
20.3	5	103
17	6	125
21.6	4	115
16.2	6	133
31.5	4	71
29.5	4	68
21.5	6	115
19.8	6	85
22.3	4	88
20.2	6	90
20.6	6	110
17	8	130
17.6	8	129
16.5	8	138
18.2	8	135
16.9	8	155
15.5	8	142
19.2	8	125
18.5	8	150
31.9	4	71
34.1	4	65
35.7	4	80
27.4	4	80
25.4	5	77
23	8	125
27.2	4	71
23.9	8	90
34.2	4	70
34.5	4	70
31.8	4	65
37.3	4	69
28.4	4	90
28.8	6	115
26.8	6	115
33.5	4	90
41.5	4	76
38.1	4	60
32.1	4	70
37.2	4	65
28	4	90
26.4	4	88
24.3	4	90
19.1	6	90
34.3	4	78
29.8	4	90
31.3	4	75
37	4	92
32.2	4	75
46.6	4	65
27.9	4	105
40.8	4	65
44.3	4	48
43.4	4	48
36.4	5	67
30	4	67
44.6	4	67
40.9	4	0
33.8	4	67
29.8	4	62
32.7	6	132
23.7	3	100
35	4	88
23.6	4	0
32.4	4	72
27.2	4	84
26.6	4	84
25.8	4	92
23.5	6	110
30	4	84
39.1	4	58
39	4	64
35.1	4	60
32.3	4	67
37	4	65
37.7	4	62
34.1	4	68
34.7	4	63
34.4	4	65
29.9	4	65
33	4	74
34.5	4	0
33.7	4	75
32.4	4	75
32.9	4	100
31.6	4	74
28.1	4	80
30.7	6	76
25.4	6	116
24.2	6	120
22.4	6	110
26.6	8	105
20.2	6	88
17.6	6	85
28	4	88
27	4	88
34	4	88
31	4	85
29	4	84
27	4	90
24	4	92
23	4	0
36	4	74
37	4	68
31	4	68
38	4	63
36	4	70
36	4	88
36	4	75
34	4	70
38	4	67
32	4	67
38	4	67
25	6	110
38	6	85
26	4	92
22	6	112
32	4	96
36	4	84
27	4	90
27	4	86
44	4	52
32	4	84
28	4	79
31	4	82
